order_id,customer_name,customer_email,notes,item_number,product,qty
001,John Doe,john.doe@example.com,Delivered on time. ,1,Widget A,2
001,John Doe,john.doe@example.com,Delivered on time. ,2,Widget B,1
001,John Doe,john.doe@example.com,Delivered on time. ,3,Widget C,5
001,John Doe,john.doe@example.com,Delivered on time. ,4,Widget D,3
001,John Doe,john.doe@example.com,Delivered on time. ,5,Widget E,4
001,John Doe,john.doe@example.com,Delivered on time. ,6,Widget F,6
001,John Doe,john.doe@example.com,Delivered on time. ,7,Widget G,2
001,John Doe,john.doe@example.com,Delivered on time. ,8,Widget H,7
001,John Doe,john.doe@example.com,Delivered on time. ,9,Widget I,1
001,John Doe,john.doe@example.com,Delivered on time. ,10,Widget J,8
002,Jane Smith,jane.smith@example.com,Delayed. Unexpected char: \u2028,1,Widget K,4
002,Jane Smith,jane.smith@example.com,Delayed. Unexpected char: \u2028,2,Widget L,3
002,Jane Smith,jane.smith@example.com,Delayed. Unexpected char: \u2028,3,Widget M,5
002,Jane Smith,jane.smith@example.com,Delayed. Unexpected char: \u2028,4,Widget N,2
002,Jane Smith,jane.smith@example.com,Delayed. Unexpected char: \u2028,5,Widget O,7
002,Jane Smith,jane.smith@example.com,Delayed. Unexpected char: \u2028,6,Widget P,6
002,Jane Smith,jane.smith@example.com,Delayed. Unexpected char: \u2028,7,Widget Q,1
002,Jane Smith,jane.smith@example.com,Delayed. Unexpected char: \u2028,8,Widget R,9
002,Jane Smith,jane.smith@example.com,Delayed. Unexpected char: \u2028,9,Widget S,8
002,Jane Smith,jane.smith@example.com,Delayed. Unexpected char: \u2028,10,Widget T,2
003,Alice Johnson,alice.johnson@example.com,Shipped. Invalid char: \x92,1,Widget U,2
003,Alice Johnson,alice.johnson@example.com,Shipped. Invalid char: \x92,2,Widget V,3
003,Alice Johnson,alice.johnson@example.com,Shipped. Invalid char: \x92,3,Widget W,4
003,Alice Johnson,alice.johnson@example.com,Shipped. Invalid char: \x92,4,Widget X,5
003,Alice Johnson,alice.johnson@example.com,Shipped. Invalid char: \x92,5,Widget Y,6
003,Alice Johnson,alice.johnson@example.com,Shipped. Invalid char: \x92,6,Widget Z,7
003,Alice Johnson,alice.johnson@example.com,Shipped. Invalid char: \x92,7,Widget AA,8
003,Alice Johnson,alice.johnson@example.com,Shipped. Invalid char: \x92,8,Widget AB,9
003,Alice Johnson,alice.johnson@example.com,Shipped. Invalid char: \x92,9,Widget AC,10
003,Alice Johnson,alice.johnson@example.com,Shipped. Invalid char: \x92,10,Widget AD,1
